searchValue,dn,dudukeid,edupersonprimaryaffiliation,dupsacadcareerdescc1,dupsacadprogc1,dupsexpgradtermc1
dzy2,"duLDAPKey=6633630b-37af-468c-bbaa-dbc3ffd9413e,ou=people,dc=duke,dc=edu",0761416,student,Undergraduate,A&S,2021 Sprng
dtc21,"duLDAPKey=13307595-201a-4422-ae32-52cc3fee8147,ou=people,dc=duke,dc=edu",0828251,student,Undergraduate,A&SU,2022 Sprng
ehk10,"duLDAPKey=6883dda3-445c-43b1-83fe-eadb578ddfec,ou=people,dc=duke,dc=edu",0849847,student,Undergraduate,A&SU,2022 Sprng
nmt12,"duLDAPKey=567d417e-c489-11e5-94e6-3e251b144c1c,ou=people,dc=duke,dc=edu",0703122,student,Undergraduate,A&S,2020 Sprng
ym116,"duLDAPKey=1d1cf555-51c4-4cb2-8fa1-328bb5e91445,ou=people,dc=duke,dc=edu",0762061,student,Undergraduate,A&SU,2022 Sprng
kek35,"duLDAPKey=a417f038-e265-11e5-be52-137b1b144c1c,ou=people,dc=duke,dc=edu",0709303,student,Undergraduate,A&S,2020 Sprng
mto4,"duLDAPKey=d373b39c-d9c0-11e5-b25c-f7471b144c1c,ou=people,dc=duke,dc=edu",0705639,student,Undergraduate,E-UGD,2020 Sprng
tmw36,"duLDAPKey=3997ca90-9dc2-11e5-90f1-0d151b144c1c,ou=people,dc=duke,dc=edu",0700240,student,Undergraduate,E-UGD,2020 Sprng
aas85,"duLDAPKey=7f429aea-dce5-11e5-bcea-a5601b144c1c,ou=people,dc=duke,dc=edu",0706790,student,Undergraduate,A&S,2020 Sprng
jy203,"duLDAPKey=4e2e84d6-e0d3-11e5-8ee5-ef331b144c1c,ou=people,dc=duke,dc=edu",0708260,student,Undergraduate,A&S,2020 Sprng
bmw43,"duLDAPKey=50e098e4-d765-11e5-8063-0c8c1b144c1c,ou=people,dc=duke,dc=edu",0705442,student,Undergraduate,A&S,2019 Fall
dpw22,"duLDAPKey=8ad8c4a3-8542-45ed-b070-e566f1b376c4,ou=people,dc=duke,dc=edu",0737619,student,Undergraduate,A&S,2020 Fall
ksd20,"duLDAPKey=109f47ee-93d1-11e5-8275-8d571b144c1c,ou=people,dc=duke,dc=edu",0699401,student,Undergraduate,A&S,2020 Sprng
mc591,"duLDAPKey=7f46e3a5-e0f7-4a27-ab6d-f7beb8979df1,ou=people,dc=duke,dc=edu",0834962,student,Physical Therapy - Doctorate,PT-D2,2021 Sprng
pv47,"duLDAPKey=1b0f525c-0143-4dd1-8f73-244e505e8411,ou=people,dc=duke,dc=edu",0877263,student,Graduate,GMINT,2021 Sprng
aba32,"duLDAPKey=dfcfd50d-e855-440c-b24c-8dfb18cc90d8,ou=people,dc=duke,dc=edu",0854682,student,Graduate,GMINT,2021 Sprng
mgc28,"duLDAPKey=107f2d22-9888-11e5-83fa-79c11a144c1c,ou=people,dc=duke,dc=edu",0699636,student,Undergraduate,A&S,2020 Sprng
jlt72,"duLDAPKey=e703525a-9307-11e5-91fb-ed1e1b144c1c,ou=people,dc=duke,dc=edu",0699306,student,Undergraduate,A&S,2020 Sprng
kmh109,"duLDAPKey=3c1e49da-9951-11e5-ba3f-04061b144c1c,ou=people,dc=duke,dc=edu",0699789,student,Undergraduate,A&S,2020 Sprng
itb4,"duLDAPKey=2453c53f-c8ec-40fd-9ecb-cc0f1ab3f2a6,ou=people,dc=duke,dc=edu",0858809,student,Undergraduate,A&SU,2023 Sprng
acc95,"duLDAPKey=baefed84-10e5-47ba-bf38-a8798663d828,ou=people,dc=duke,dc=edu",0937643,student,Undergraduate,A&SU,2023 Sprng
