searchValue,dn,dudukeid,edupersonprimaryaffiliation,dupsacadcareerdescc1,dupsacadprogc1,dupsexpgradtermc1
bll32,"duLDAPKey=f3b163c8-4225-4120-9a05-af1705344f2b,ou=people,dc=duke,dc=edu",0854210,student,Undergraduate,E-UGU,2022 Sprng
zg63,"duLDAPKey=aed99f35-f820-4f38-ad4b-c070a20f57a4,ou=people,dc=duke,dc=edu",0968978,student,Undergraduate,A&SU,2023 Sprng
rz47,"duLDAPKey=e00c150e-1dd1-11b2-b833-e02c52381c12,ou=people,dc=duke,dc=edu",0642713,student,Graduate,GPENG,2019 Fall
kcm56,"duLDAPKey=e0e75cc2-a8f4-43ee-a7fd-975b73a2dc5d,ou=people,dc=duke,dc=edu",0913467,student,Engineering Professional,E-MGT,2021 Sprng
dt147,"duLDAPKey=8c3978e9-8ca1-465a-b959-433ace13ffce,ou=people,dc=duke,dc=edu",0836648,student,Graduate,GPINT,2025 Sprng
tm297,"duLDAPKey=81dcc813-2d18-4da8-93fe-d6e7d77add2c,ou=people,dc=duke,dc=edu",0923072,student,Engineering Professional,E-MGT,2021 Sprng
ss778,"duLDAPKey=3c27f0a6-8fe3-11e5-830f-88701b144c1c,ou=people,dc=duke,dc=edu",0699051,student,Undergraduate,A&S,2020 Sprng
ts359,"duLDAPKey=d527f37f-380f-4ddd-b9cb-ed2d55ebd94b,ou=people,dc=duke,dc=edu",0964739,student,Undergraduate,E-UGU,2023 Sprng
xl318,"duLDAPKey=293402b8-9a5f-4337-8a53-f47acc4952ab,ou=people,dc=duke,dc=edu",0931884,student,Engineering Professional,E-MGT,2021 Sprng
crm80,"duLDAPKey=8dd3c649-08ad-4442-aa85-8ab89ad9c1b6,ou=people,dc=duke,dc=edu",0876308,student,Undergraduate,A&SU,2022 Sprng
aam86,"duLDAPKey=9f8b7fd6-b9fd-48e4-bcf4-a4599d41c69e,ou=people,dc=duke,dc=edu",0761216,student,Undergraduate,A&S,2021 Sprng
zvp2,"duLDAPKey=bf9c4761-04e0-44ac-a674-d87a306ff1ef,ou=people,dc=duke,dc=edu",0758290,student,Undergraduate,A&S,2021 Sprng
ecr35,"duLDAPKey=443d2b47-7dbd-471b-8dd3-c0a5edb86155,ou=people,dc=duke,dc=edu",0828757,student,Undergraduate,A&SU,2022 Sprng
sak69,"duLDAPKey=04b88ef8-9356-4b82-a5ac-6c24b9bb5b41,ou=people,dc=duke,dc=edu",0965159,student,Undergraduate,A&SU,2023 Sprng
kmh141,"duLDAPKey=f1327230-0acd-4322-8e9f-f9d5411403a9,ou=people,dc=duke,dc=edu",0962925,student,Undergraduate,A&SU,2023 Sprng
adm96,"duLDAPKey=84839631-e6ec-4945-ae1d-a33d704dfb0c,ou=people,dc=duke,dc=edu",0962269,student,Undergraduate,A&SU,2023 Sprng
ap458,"duLDAPKey=dd93afe4-76ff-4fb2-8660-30c5b22a0818,ou=people,dc=duke,dc=edu",0827042,student,Undergraduate,E-UGU,2022 Sprng
sar81,"duLDAPKey=9e3f1084-a098-4667-97bc-344c6ec61adf,ou=people,dc=duke,dc=edu",0965885,student,Undergraduate,A&SU,2023 Sprng
erc45,"duLDAPKey=505a7be9-43ae-4a6b-ad71-7ad4b2e0bae2,ou=people,dc=duke,dc=edu",0936711,student,Undergraduate,A&SU,2023 Sprng
rvc6,"duLDAPKey=64d0f6da-f45f-47a3-ae1a-bc5550abf798,ou=people,dc=duke,dc=edu",0964930,student,Undergraduate,E-UGU,2023 Sprng
ehk10,"duLDAPKey=6883dda3-445c-43b1-83fe-eadb578ddfec,ou=people,dc=duke,dc=edu",0849847,student,Undergraduate,A&SU,2022 Sprng
lbj11,"duLDAPKey=4044edd1-7440-434b-981e-0237d86a14ba,ou=people,dc=duke,dc=edu",0868212,student,Undergraduate,A&SU,2022 Sprng
