searchValue,dn,dudukeid,edupersonprimaryaffiliation,dupsacadcareerdescc1,dupsacadprogc1,dupsexpgradtermc1
rk193,"duLDAPKey=92e297a4-1dd2-11b2-81df-e02c52381c12,ou=people,dc=duke,dc=edu",0679040,,,,
dew29,"duLDAPKey=c30364cd-9b24-4495-b4cf-ad2f9068508d,ou=people,dc=duke,dc=edu",0739126,student,Undergraduate,E-UGD,2021 Sprng
aa304,"duLDAPKey=d36b17e6-1dd1-11b2-aa54-e02c52381c12,ou=people,dc=duke,dc=edu",0626542,staff,,,
cao19,"duLDAPKey=e54a382a-9307-11e5-91fb-ed1e1b144c1c,ou=people,dc=duke,dc=edu",0699271,student,Undergraduate,E-UGD,2020 Sprng
map98,"duLDAPKey=8a60e09e-94ec-4f7c-aa6e-ea14c47cb3cc,ou=people,dc=duke,dc=edu",0738705,student,Undergraduate,E-UGD,2021 Sprng
sdw52,"duLDAPKey=07ac6561-8d6e-482f-ba3a-ed7d68a642a9,ou=people,dc=duke,dc=edu",0821590,student,Fuqua School of Business,F-MBA,2020 Sprng
ono5,"duLDAPKey=df42400b-ed15-4723-b0ad-012830477871,ou=people,dc=duke,dc=edu",0835811,student,Undergraduate,A&SU,2022 Sprng
nmt12,"duLDAPKey=567d417e-c489-11e5-94e6-3e251b144c1c,ou=people,dc=duke,dc=edu",0703122,student,Undergraduate,A&S,2020 Sprng
gwe3,"duLDAPKey=ae416f4a-1dd1-11b2-8126-e02c52381c12,ou=people,dc=duke,dc=edu",0674597,,,,
cg232,"duLDAPKey=9db8363b-1d93-4899-ad55-a7401e7117f0,ou=people,dc=duke,dc=edu",0749401,student,Undergraduate,A&S,2021 Sprng
bm189,"duLDAPKey=3bdec364-9951-11e5-ba3f-04061b144c1c,ou=people,dc=duke,dc=edu",0699784,student,Undergraduate,A&S,2020 Sprng
acm92,"duLDAPKey=ed065d84-08cc-43dc-b125-069d2bb49cea,ou=people,dc=duke,dc=edu",0738150,student,Undergraduate,A&S,2021 Sprng
elm64,"duLDAPKey=b5baa43c-b8a7-4ab9-a2c2-af9a6f6fd710,ou=people,dc=duke,dc=edu",0852246,student,Undergraduate,A&SU,2022 Sprng
kn117,"duLDAPKey=7032f111-5fb8-4474-9b9c-546f06db3368,ou=people,dc=duke,dc=edu",0828203,student,Undergraduate,A&SU,2022 Sprng
dam80,"duLDAPKey=60e814f9-cd8a-4c28-9f16-6cf2914bcbfd,ou=people,dc=duke,dc=edu",0735508,student,Undergraduate,E-UGD,2021 Sprng
hl232,"duLDAPKey=089616ba-1dd2-11b2-bf99-e02c52381c12,ou=people,dc=duke,dc=edu",0671754,,,,
vs116,"duLDAPKey=94582dce-1dd1-11b2-81e0-e02c52381c12,ou=people,dc=duke,dc=edu",0679059,,,,
mlg73,"duLDAPKey=994cb078-9a4c-4f74-9be0-da15625b4f48,ou=people,dc=duke,dc=edu",0823387,student,Undergraduate,A&SU,2022 Sprng
akn13,"duLDAPKey=955ebed2-1dd1-11b2-bd25-e02c52381c12,ou=people,dc=duke,dc=edu",0668535,,,,
jap109,"duLDAPKey=adb933f6-f09d-4c54-b288-e91f36c4a8b1,ou=people,dc=duke,dc=edu",0734114,student,Undergraduate,A&S,2021 Sprng
jkn8,"duLDAPKey=4458812c-1dd2-11b2-bcae-e02c52381c12,ou=people,dc=duke,dc=edu",0668017,staff,,,
tac56,"duLDAPKey=91187af2-9175-11e5-aea4-58b81a144c1c,ou=people,dc=duke,dc=edu",0699096,student,Undergraduate,A&S,2020 Sprng
jll77,"duLDAPKey=937a3caa-e19c-11e5-89a2-aa571b144c1c,ou=people,dc=duke,dc=edu",0709093,student,Undergraduate,E-UGD,2020 Sprng
kk264,"duLDAPKey=5d965fc8-1dd2-11b2-81ae-e02c52381c12,ou=people,dc=duke,dc=edu",0677570,,,,
ht128,"duLDAPKey=13851be5-7400-4167-886c-63c9575a37a7,ou=people,dc=duke,dc=edu",0893016,affiliate,,,
jor6,"duLDAPKey=001ae6fa-1dd2-11b2-8144-e02c52381c12,ou=people,dc=duke,dc=edu",0674836,,,,
mjh81,"duLDAPKey=1f4d15fe-9201-11e5-b333-1fe21a144c1c,ou=people,dc=duke,dc=edu",0699152,student,Undergraduate,A&S,2019 Fall
btw19,"duLDAPKey=36d8ffaf-852c-45ba-aada-9a73ea2a0323,ou=people,dc=duke,dc=edu",0736755,student,Undergraduate,E-UGD,2021 Sprng
ndb24,"duLDAPKey=b873c7bd-de9f-4920-9545-e375ec2d6039,ou=people,dc=duke,dc=edu",0765679,student,Undergraduate,A&SU,2022 Fall
us15,"duLDAPKey=831d403a-1dd2-11b2-81df-e02c52381c12,ou=people,dc=duke,dc=edu",0678832,,,,
ant27,"duLDAPKey=10c256ed-f2b7-41b2-8fc2-e227ea5e067f,ou=people,dc=duke,dc=edu",0887793,student,Graduate,GMGHL,2021 Sprng
hsl9,"duLDAPKey=0cc12760-9d3f-11e5-9d32-0cfe1a144c1c,ou=people,dc=duke,dc=edu",0700186,student,Undergraduate,A&S,2020 Sprng
vrl5,"duLDAPKey=86284420-e19c-11e5-89a2-aa571b144c1c,ou=people,dc=duke,dc=edu",0708879,student,Undergraduate,E-UGD,2020 Sprng
ump,"duLDAPKey=9536474a-21d7-47a6-9d82-bffbae37fd42,ou=people,dc=duke,dc=edu",0846650,student,Graduate,GPA&S,2025 Sprng
ghc8,"duLDAPKey=e9072c96-8c88-45fa-935c-f53aca7d5691,ou=people,dc=duke,dc=edu",0859272,student,Undergraduate,A&SU,2022 Sprng
jjs78,"duLDAPKey=5900762c-1dd2-11b2-80f4-e02c52381c12,ou=people,dc=duke,dc=edu",0674205,,,,
nlr18,"duLDAPKey=fa58f4f2-dc1c-484e-9c90-fdce9e9a2c94,ou=people,dc=duke,dc=edu",0867598,student,Undergraduate,A&SU,2022 Sprng
rdw28,"duLDAPKey=1aa204ca-1dd2-11b2-819b-e02c52381c12,ou=people,dc=duke,dc=edu",0676745,,,,
tw192,"duLDAPKey=531190ec-7918-4d0b-b9db-9e467f10ddbd,ou=people,dc=duke,dc=edu",0738261,student,Undergraduate,E-UGD,2021 Sprng
mbf25,"duLDAPKey=25a888a2-db53-11e5-beea-20d81a144c1c,ou=people,dc=duke,dc=edu",0705954,staff,,,
egn3,"duLDAPKey=70c2b8e2-1dd2-11b2-bcee-e02c52381c12,ou=people,dc=duke,dc=edu",0668329,,,,
myc8,"duLDAPKey=25293c38-e4c1-11e5-9342-d6dc1a144c1c,ou=people,dc=duke,dc=edu",0710389,student,Undergraduate,A&S,2019 Fall
